"#!,Workbook:,Custom,C",ustom,,,,
"#!,To play this data",back: Op,en the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,
"#!,For more informati",on visit,http://aka.ms/hackingstem/,,,
Soil Moisture: 438,Decibel:,41,24.5c,,
Soil Moisture: 438,Decibel:,41,Temperature: 24.2c,,Humidity: 45.6 %
Soil Moisture: 438,Decibel:,41,Temperature: 24.1c,,Humidity: 39.8 %
Soil Moisture: 438,Decibel:,42,Temperature: 23.6c,,Humidity: 40.1 %
Soil Moisture: 437,Decibel:,41,Temperature: 24.0c,,Humidity: 51.2 %
Soil Moisture: 438,Decibel:,41,Temperature: 24.0c,,Humidity: 51.3 %
Soil Moisture: 438,Decibel:,41,Temperature: 23.8c,,Humidity: 39.3 %
Soil Moisture: 438,Decibel:,42,Temperature: 23.5c,,Humidity: 31.9 %
Soil Moisture: 438,Decibel:,42,Temperature: 23.9c,,Humidity: 51.3 %
Soil Moisture: 438,Decibel:,41,Temperature: 24.4c,,Humidity: 39.6 %
Soil Moisture: 438,Decibel:,41,Temperature: 24.8c,,Humidity: 39.4 %
Soil Moisture: 438,Decibel:,41,Temperature: 24.2c,,Humidity: 45.1 %
Soil Moisture: 438,Decibel:,41,Temperature: 23.8c,,Humidity: 42.8 %
Soil Moisture: 438,Decibel:,41,Temperature: 23.7c,,Humidity: 38.2 %
Soil Moisture: 438,Decibel:,41,Temperature: 23.3c,,Humidity: 39.9 %
Soil Moisture: 438,Decibel:,41,Temperature: 24.0c,,Humidity: 44.9 %
Soil Moisture: 438,Decibel:,41,Temperature: 24.2c,,Humidity: 51.4 %
